"ID","OFFICECODE","OFFICENAME","OFFICETYPEID","EMAIL","MOBILENO","TELEPHONENUMBER","WEBADDRESS","ISACTIVE","CREATEDDATE","CREATEDBY","MODIFIEDDATE","MODIFIEDBY","DELETEDBY","ISDELETED","PROFESSIONALTAX","DELETEDDATE","PARENTOFFICEID","DICOFFICETYPEID","BANKNAME","BANKACCOUNTNO","IFSCCODE","BRANCHNAME"
1841,"TS001","TestKV",,"ts@gmail.com","8045738453","","tes.com",1,10-FEB-25,"EMP00849",10-FEB-25,"EMP00849","",0,"2131",,1771,6,"canara","04375837538745","canara983409","khajrana"
184,"5000","KVS Head Office",,"commissioner@kvs.gov.in","","1126523065","",1,,"",12-FEB-25,"EMP00849","",0,"10",,0,1,"A","123456789","IFSC12345","B"
1801,"Test123","Test",1,"sagar.joshi@neosoftmail.com","9999999999","","",1,05-FEB-25,"83845",,"","",0,"200",,1789,6,"","","",""
663,"1179","KENDRIYA VIDYALAYA RAMGARH CANTT",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
664,"1180","KENDRIYA VIDYALAYA (CRPF)RANCHI",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
665,"1181","KENDRIYA VIDYALAYA (HEC) RANCHI",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
666,"1182","KENDRIYA VIDYALAYA DEEPATOLI RANCHI",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
667,"1183","KENDRIYA VIDYALAYA (CCL) RANCHI",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
668,"1184","KENDRIYA VIDYALAYA RANCHI HINOO",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
669,"1185","KENDRIYA VIDYALAYA RANCHI NAMKUM",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
670,"1188","KENDRIYA VIDYALAYA AFS SINGHARSHI",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
671,"1191","KENDRIYA VIDYALAYA SURDA GHATSILA",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
672,"1193","KENDRIYA VIDYALAYA TATA NAGAR",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
673,"2071","KENDRIYA VIDYALAYA GARHWA",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
674,"2072","KENDRIYA VIDYALAYA GODDA",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
675,"2073","KENDRIYA VIDYALAYA JAMTARA",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
676,"2074","KENDRIYA VIDYALAYA LATEHAR",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
677,"2097","KENDRIYA VIDYALAYA MADHUPUR(DEOGHAR)",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
678,"2112","KENDRIYA VIDYALAYA SIMDEGA",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
679,"2130","KENDRIYA VIDYALAYA SHAHIBGANJ",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
680,"2151","KENDRIYA VIDYALAYA GUMLA",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
681,"2348","KENDRIYA VIDYALAYA KHUNTI",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
682,"2349","KENDRIYA VIDYALAYA LOHARDAGA",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
683,"2358","KENDRIYA VIDYALAYA DUMKA",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
684,"2359","KENDRIYA VIDYALAYA GIRIDIH",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
685,"2360","KENDRIYA VIDYALAYA CHATRA",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
686,"2408","KENDRIYA VIDYALAYA SARAIKELA KHARSAWAN",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
687,"2409","KENDRIYA VIDYALAYA KODERMA",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
688,"2430","KENDRIYA VIDYALAYA SER DANGOAPOSI",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
689,"2431","KENDRIYA VIDYALAYA PALAMAU",,"","","","",1,,"",,"","",0,"",,1792,6,"","","",""
690,"2418","KENDRIYA VIDYALAYA YESHWANTHPUR RAILWAY",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
691,"2438","KENDRIYA VIDYALAYA SADALAGA",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
692,"1044","KENDRIYA VIDYALAYA ASC BANGALORE",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
693,"1045","KENDRIYA VIDYALAYA DRDO BANGALORE",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
694,"1046","KENDRIYA VIDYALAYA HEBBAL BANGALORE",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
695,"1047","KENDRIYA VIDYALAYA IISC BANGALORE",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
696,"1048","KENDRIYA VIDYALAYA NAL BANGALORE",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
697,"1049","KENDRIYA VIDYALAYA MALLESHWARAM",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
698,"1050","KENDRIYA VIDYALAYA MEG &amp; CENTRE BANGALORE",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
699,"1051","KENDRIYA VIDYALAYA AFS NO.I JALAHALLI",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
700,"1052","KENDRIYA VIDYALAYA AFS NO.II JALAHALLI",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
701,"1053","KENDRIYA VIDYALAYA MG RLY. BANGALORE",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
702,"1054","KEDRIYA VIDYALAYA AFS YELAHANKA",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
703,"1055","KENDRIYA VIDYALAYA CRPF YELAHANKA",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
704,"1056","KENDRIYA VIDYALAYA W&amp;AP YELAHANKA",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
705,"1057","KENDRIYA VIDYALAYA NO.II BELGAUM CANTT",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
706,"1058","KENDRIYA VIDYALAYA AFS SAMBRA",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
707,"1059","KENDRIYA VIDYALAYA BELLARY",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
708,"1060","KENDRIYA VIDYALAYA BEML NAGAR KOLAR",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
709,"1061","KENDRIYA VIDYLAYA AFS BIDAR",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
710,"1062","KENDRIYA VIDYALAYA VIJAYAPURA",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
711,"1065","KENDRIYA VIDYALAYA NDMC DONIMALAI",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
712,"1071","KENDRIYA VIDYALAYA GULBARGA KALABURAGI",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
713,"1072","KENDRIYA VIDYALAYA HASSAN",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
714,"1073","KENDRIYA VIDYALAYA HOSPET",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
715,"1074","KENDRIYA VIDYALAYA DHARWAD",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
716,"1075","KENDRIYA VIDYALAYA NO.I HUBLI",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
717,"1076","KENDRIYA VIDYALAYA NO II HUBLI",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
718,"1081","KENDRIYA VIDYALAYA NO.I MANGALORE",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
719,"1082","KENDRIYA VIDYALAYA NO.II MANGALURU",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
720,"1083","KENDRIYA VIDYALAYA MYSORE",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
721,"1085","KENDRIYA VIDYALAYA RAICHUR",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
722,"1086","KENDRIYA VIDYALAYA TUMKUR",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
723,"2060","KENDRIYA VIDYALAYA KARWAR",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
724,"2064","KENDRIYA VIDYALAYA KODAGU",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
725,"2116","KENDRIYA VIDYALAYA NO.III BELGAUM",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
726,"2117","KENDRIYA VIDYALAYA BAGALKOT",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
727,"2167","KENDRIYA VIDYALAYA KOPPAL",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
728,"2168","KENDRIYA VIDYALAYA DAVANGERE",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
729,"2169","KENDRIYA VIDYALAYA SHIVAMOGGA",,"","","","",1,,"",,"","",0,"",,1773,6,"","","",""
730,"1501","KENDRIYA VIDYALAYA (SK UNIVERSITY) ANANTAPUR",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
731,"1504","KENDRIYA VIDYALAYA GOOTY ANANTPUR",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
732,"1505","KENDRIYA VIDYALAYA GUNTAKAL",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
733,"1506","KENDRIYA VIDYALAYA GUNTUR",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
734,"1523","KENDRIYA VIDYALAYA KURNOOL",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
735,"1524","KENDRIYA VIDYALAYA MACHHLIPATNAM",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
736,"1526","KENDRIYA VIDYALAYA (ONGC) RAJAHMUNDARY",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
737,"1529","KENDRIYA VIDYALAYA AFS SURYA LANKA",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
738,"1530","KENDRIYA VIDYALAYA NO.I TIRUPATI",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
739,"1531","KENDRIYA VIDYALAYA NO.II TIRUPATI",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
740,"1533","KENDRIYA VIDYALAYA NO.II VIJAYAWADA",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
741,"2091","KENDRIYA VIDYALAYA ELURU",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
742,"2103","KENDRIYA VIDYALAYA VENKATAGIRI",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
743,"2119","KENDRIYA VIDYALAYA ONGOLE",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
744,"2156","KENDRIYA VIDYALAYA KOTHURU",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
745,"2289","KENDRIYA VIDYALAYA TENALI",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
746,"2318","KENDRIYA VIDYALAYA RAJAMPET",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
747,"2325","KENDRIYA VIDYALAYA KAKINADA",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
748,"2344","KENDRIYA VIDYALAYA SATTENAPALLI",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
749,"2372","KENDRIYA VIDYALAYA RAJAMPALLI",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
750,"2402","KENDRIYA VIDYALAYA KANDUKUR TOWN",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
751,"2403","KENDRIYA VIDYALAYA IRLAPADU",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
752,"1502","KENDRIYA VIDYALAYA INS KALINGA BHEEMUNIPATNAM",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
753,"1528","KENDRIYA VIDYALAYA SRIKAKULAM",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
754,"1534","KENDRIYA VIDYALAYA MALKAPURAM",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
755,"1535","KENDRIYA VIDYALAYA NAD VISHAKHAPATNAM",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
756,"1537","KENDRIYA VIDYALAYA NO.II NAUSENA BAGH",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
757,"1538","KENDRIYA VIDYALAYA NO.I SRIVIJAYA NAGAR",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
758,"1539","KENDRIYA VIDYALAYA NO.II SRIVIJAYA NAGAR",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
759,"1540","KENDRIYA VIDYALAYA STEEL PROJECT",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
760,"1541","KENDRIYA VIDYALAYA WALTAIR",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
761,"2092","KENDRIYA VIDYALAYA VIZIANAGARAM",,"","","","",1,,"",,"","",0,"",,1783,6,"","","",""
762,"1459","KENDRIYA VIDYALAYA ALONG (11 ASSAM RIFLES)",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
763,"1472","KENDRIYA VIDYALAYA No. I ITANAGAR",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
764,"1473","KENDIRIYA VIDAYALAYA NO. II ITANAGAR",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
765,"1478","KENDRIYA VIDYALAYA KIMIN (9 ASSAM RIFLES)",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
766,"1483","KENDRIYA VIDYALAYA NIRJULI (NERIST)",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
767,"1489","KENDRIYA VIDYALAYA TENGA VALLEY",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
768,"1496","KENDRIYA VIDYALAYA TAWANG",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
769,"1884","KENDRIYA VIDYALAYA PASSIGAHT",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
770,"1893","KENDRIYA VIDYALAYA TEZU",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
771,"1920","KENDRIYA VIDYALAYA ROING",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
772,"1941","KENDRIYA VIDYALAYA KHONSA",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
773,"1942","KENDRIYA VIDYALAYA MIAON",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
774,"2118","KENDRIYA VIDYALAYA DIRANG",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
775,"2251","KENDRIYA VIDYALAYA TUTING",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
776,"2304","KENDRIYA VIDYALAYA ZERO HAPOLI",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
777,"2355","KENDRIYA VIDYALAYA LONGDING",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
778,"2406","KENDRIYA VIDYALAYA DAPORIJO",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
779,"2421","KENDRIYA VIDYALAYA NAMSAI",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
780,"2435","KENDRIYA VIDYALAYA HAYULIANG ANJAW",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
781,"1460","KENDRIYA VIDYALAYA BARPETA",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
782,"1462","KENDRIYA VIDYALAYA NEW BONGAIGAON",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
783,"1463","KENDRIYA VIDYALAYA (AFS) DIGARU",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
1830,"TESTING12354555","etttte",,"aaa@gmail.com","5667666756","","122AW",1,07-FEB-25,"EMP00849",10-FEB-25,"EMP00849","",0,"1222",,184,5,"","","",""
1831,"string","string",,"string","string","string","string",0,07-FEB-25,"EMP00849",07-FEB-25,"EMP00849","",0,"string",,184,5,"string","string","string","string"
784,"1464","KENDRIYA VIDYALAYA GERUKAMUKH HE PROJECT",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
785,"1465","KENDRIYA VIDYALAYA IOC GUWAHATI",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
786,"1466","KENDRIYA VIDYALAYA (CRPF) AMERIGOG",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
787,"1467","KENDRIYA VIDYALAYA BORJHAR",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
788,"1468","KENDRIYA VIDYALAYA KHANAPARA",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
789,"1469","KENDRIYA VIDYALAYA MALIGAON",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
790,"1470","KENDRIYA VIDYALAYA NARANGI",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
791,"1471","KENDRIYA VIDYALAYA IIT GUWAHATI",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
792,"1474","KENDRIYA VIDYALAYA (HPC) JAGIROAD",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
793,"1475","KENDRIYA VIDYALYA (AFS) NO. I JORHAT",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
794,"1476","KENDRIYA VIDYALAYA ONGC NO.II JORHAT",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
795,"1477","KENDRIYA VIDYALAYA No. III JORHAT",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
796,"1479","KENDRIYA VIDYALAYA KOKRAJHAR",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
797,"1480","KENDRIYA VIDYALAYA LAKHIMPUR",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
798,"1481","KENDRIYA VIDYALAYA MANGALDOI",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
799,"1482","KENDRIYA VIDYALAYA MISSAMARI",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
800,"1484","KENDRIYA VIDYALAYA NAGAON",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
801,"1485","KENDRIYA VIDYALAYA MISA CANTT. NOWGAON",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
802,"1486","KENDRIYA VIDYALAYA (BSF) PANBARI",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
803,"1497","KENDRIYA VIDYALAYA LOKRA",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
804,"1498","KENDRIYA VIDYALAYA NO.I TEZPUR",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
805,"1499","KENDRIYA VIDYALAYA AFS NO II TEZPUR",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
806,"1876","KENDRIYA VIDYALAYAKHAT(CRPF) KHATI",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
807,"1858","KENDRIYA VIDYALAYA (CCI) BOKAJAN",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
808,"1867","KENDRIYA VIDYALAYA DIPHU",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
809,"1868","Kendriya Vidyalaya (ARC)DOOM DOOMA",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
810,"1870","KENDRIYA VIDYALAYA (SSB) HAFLONG",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
811,"1880","KENDRIYA VIDYALAYA LUMDING",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
812,"1882","KENDRIYA VIDYALAYA BVFCL NAMRUP",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
813,"1887","KENDRIYA VIDYALAYA No I SIBSAGAR",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
814,"1888","KENDRIYA VIDYALAYA No II SIBSAGAR",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
815,"2076","KENDRIYA VIDYALAYA GOLAGHAT",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
816,"2113","KENDRIYA VIDYALAYA GOALPARA",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
817,"2164","KENDRIYA VIDYALAYA TAMULPUR",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
818,"2165","KENDRIYA VIDYALAYA UDALGURI",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
819,"2166","KENDRIYA VIDYALAYA RANGIYA N.F. RAILWAY",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
820,"2250","KENDRIYA VIDYALAYA TEZPUR UNIVERSITY",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
821,"2399","KENDRIYA VIDYALAYA 210 COBRA CRPF",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
822,"2412","KENDRIYA VIDYALAYA RANGAPARA NF RAILWAY",,"","","","",1,,"",,"","",0,"",,1782,6,"","","",""
823,"1863","KENDRIYA VIDYALAYA (BSF)DHOLCHERA",,"","","","",1,,"",,"","",0,"",,1793,6,"","","",""
824,"1875","KENDRIYA VIDYALAYA KARIMGUNJ",,"","","","",1,,"",,"","",0,"",,1793,6,"","","",""
825,"1889","KENDRIYA VIDYALAYA (AFS)KUMBHIRGRAM",,"","","","",1,,"",,"","",0,"",,1793,6,"","","",""
826,"1890","KENDRIYA VIDYALAYA MASIMPUR",,"","","","",1,,"",,"","",0,"",,1793,6,"","","",""
827,"1891","KENDRIYA VIDYALAYA SILCHAR",,"","","","",1,,"",,"","",0,"",,1793,6,"","","",""
828,"1892","KENDRIYA VIDYALAYA (ONGC) SONAI ROAD",,"","","","",1,,"",,"","",0,"",,1793,6,"","","",""
829,"2275","KENDRIYA VIDYALAYA NIT",,"","","","",1,,"",,"","",0,"",,1793,6,"","","",""
830,"2333","KENDRIYA VIDYALAYA ASSAM UNIVERSITY",,"","","","",1,,"",,"","",0,"",,1793,6,"","","",""
831,"1860","KENDRIYA VIDYALAYA CHABUA",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
832,"1861","KENDRIYA VIDYALAYA MOHANBARI",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
833,"1864","KENDRIYA VIDYALAYA DIBRUGARH",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
834,"1866","KENDRIYA VIDYALAYA DINJAN",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
835,"1869","KENDRIYA VIDYALAYA (OIL)DULIAJAN",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
